,conc_string,max_delta_lambda,concentration,log_conc
0,5ug/ml_5,0.0009179221359096879,5.0,1.6094379124341003
1,5ug/ml_6,0.0007596958000710696,5.0,1.6094379124341003
2,10ug/ml_8,0.0025666061798697015,10.0,2.302585092994046
3,10ug/ml_9,0.0032360627419263377,10.0,2.302585092994046
4,50ug/ml_11,0.014817171916790217,50.0,3.912023005428146
5,50ug/ml_12,0.01383488835860791,50.0,3.912023005428146
6,100ug/ml_14,0.027569993925476988,100.0,4.605170185988092
7,100ug/ml_15,0.02743707665593864,100.0,4.605170185988092
8,200ug/ml_17,0.03832950367941956,200.0,5.298317366548036
9,200ug/ml_18,0.039477692768138395,200.0,5.298317366548036
10,1000ug/ml_20,0.04549155214182066,1000.0,6.907755278982137
11,1000ug/ml_21,0.044652265576964556,1000.0,6.907755278982137
12,1500ug/ml_23,0.04591401353249136,1500.0,7.313220387090301
13,1500ug/ml_24,0.045880133456766226,1500.0,7.313220387090301
